inverter_id,sigma_key,sigma,fallback_sigma
INV 01.01.003,250-450|45-60,0.05795947755769591,0.08101765765037579
INV 01.01.003,250-450|60+,0.04109129017400331,0.06521230971553899
INV 01.01.003,250-450|8-18,0.07852539840220105,0.11925212247323011
INV 01.01.003,450-650|18-30,0.11210969929152621,0.12203725465125263
INV 01.01.003,450-650|30-45,0.04633102106297276,0.05909096200044332
INV 01.01.003,450-650|45-60,0.06915154487569189,0.085343159973493
INV 01.01.003,450-650|60+,0.05953987494135382,0.07228462437039743
INV 01.01.003,450-650|8-18,0.08801487830523942,0.18183269011939837
INV 01.01.003,650-850|18-30,0.06046619046886683,0.15902162003354112
INV 01.01.003,650-850|30-45,0.04301494960697356,0.08104686135868523
INV 01.01.003,650-850|45-60,0.06186679602121016,0.07958918689178723
INV 01.01.003,650-850|60+,0.08211164191818669,0.1017849294143649
INV 01.01.003,850+|18-30,0.04453691545136145,0.13987822772377745
INV 01.01.003,850+|30-45,0.037986448579307885,0.06673062002958337
INV 01.01.003,850+|45-60,0.05136173403595277,0.07094266182503936
INV 01.01.003,850+|60+,0.05188455801562328,0.05854999629814949
INV 01.01.004,100-250|18-30,0.026725824132502938,0.07136051321914332
INV 01.01.004,100-250|30-45,0.02482845310929225,0.07149839424903531
INV 01.01.004,100-250|45-60,0.026755861526840032,0.07125992228639176
INV 01.01.004,100-250|60+,0.015,0.0673664286422456
INV 01.01.004,100-250|8-18,0.036062414950333826,0.0662825619660865
INV 01.01.004,250-450|18-30,0.051456962707838,0.0700468458097912
INV 01.01.004,250-450|30-45,0.05515087602209709,0.06917587346588178
INV 01.01.004,250-450|45-60,0.07084119530513373,0.08101765765037579
INV 01.01.004,250-450|60+,0.049255151247987114,0.06521230971553899
INV 01.01.004,250-450|8-18,0.06106375792016073,0.11925212247323011
INV 01.01.004,450-650|18-30,0.09267424431433433,0.12203725465125263
INV 01.01.004,450-650|30-45,0.06907611385483627,0.05909096200044332
INV 01.01.004,450-650|45-60,0.088696158624595,0.085343159973493
INV 01.01.004,450-650|60+,0.07362295286137749,0.07228462437039743
INV 01.01.004,450-650|8-18,0.03874065834194218,0.18183269011939837
INV 01.01.004,650-850|18-30,0.09689667473232783,0.15902162003354112
INV 01.01.004,650-850|30-45,0.10748566095322437,0.08104686135868523
INV 01.01.004,650-850|45-60,0.08204296722632848,0.07958918689178723
INV 01.01.004,650-850|60+,0.10299393058750171,0.1017849294143649
INV 01.01.004,850+|18-30,0.025972615297202403,0.13987822772377745
INV 01.01.004,850+|30-45,0.09995138600581122,0.06673062002958337
INV 01.01.004,850+|45-60,0.06567731614688035,0.07094266182503936
INV 01.01.004,850+|60+,0.06551777208804375,0.05854999629814949
INV 01.01.005,100-250|18-30,0.02087660992295789,0.07136051321914332
INV 01.01.005,100-250|30-45,0.020173717527177584,0.07149839424903531
INV 01.01.005,100-250|45-60,0.021571361523641076,0.07125992228639176
INV 01.01.005,100-250|60+,0.015,0.0673664286422456
INV 01.01.005,100-250|8-18,0.021429153819861532,0.0662825619660865
INV 01.01.005,250-450|18-30,0.03153263665234071,0.0700468458097912
INV 01.01.005,250-450|30-45,0.0433407768423222,0.06917587346588178
INV 01.01.005,250-450|45-60,0.05992703411873824,0.08101765765037579
INV 01.01.005,250-450|60+,0.04116872081666612,0.06521230971553899
INV 01.01.005,250-450|8-18,0.042813655379122226,0.11925212247323011
INV 01.01.005,450-650|18-30,0.051389648274791776,0.12203725465125263
INV 01.01.005,450-650|30-45,0.04730604508851025,0.05909096200044332
INV 01.01.005,450-650|45-60,0.0725367297724584,0.085343159973493
INV 01.01.005,450-650|60+,0.05982339172120926,0.07228462437039743
INV 01.01.005,450-650|8-18,0.07075607594629707,0.18183269011939837
INV 01.01.005,650-850|18-30,0.06728353222149784,0.15902162003354112
INV 01.01.005,650-850|30-45,0.040396793099361936,0.08104686135868523
INV 01.01.005,650-850|45-60,0.0646721729962018,0.07958918689178723
INV 01.01.005,650-850|60+,0.08545624831205599,0.1017849294143649
INV 01.01.005,850+|18-30,0.07782142448544235,0.13987822772377745
INV 01.01.005,850+|30-45,0.035987385481526725,0.06673062002958337
INV 01.01.005,850+|45-60,0.050820650300265946,0.07094266182503936
INV 01.01.005,850+|60+,0.046445025562912114,0.05854999629814949
INV 01.01.006,100-250|18-30,0.023851444776731054,0.07136051321914332
INV 01.01.006,100-250|30-45,0.02008522601743017,0.07149839424903531
INV 01.01.006,100-250|45-60,0.022298668987799572,0.07125992228639176
INV 01.01.006,100-250|60+,0.015,0.0673664286422456
INV 01.01.006,100-250|8-18,0.02943979173733239,0.0662825619660865
INV 01.01.006,250-450|18-30,0.039488917019928856,0.0700468458097912
INV 01.01.006,250-450|30-45,0.04354838733840645,0.06917587346588178
INV 01.01.006,250-450|45-60,0.06025853336075627,0.08101765765037579
INV 01.01.006,250-450|60+,0.04069459227865407,0.06521230971553899
INV 01.01.006,250-450|8-18,0.059235905617769945,0.11925212247323011
INV 01.01.006,450-650|18-30,0.058042489796130026,0.12203725465125263
INV 01.01.006,450-650|30-45,0.04723552582928636,0.05909096200044332
INV 01.01.006,450-650|45-60,0.07270924775841064,0.085343159973493
INV 01.01.006,450-650|60+,0.059679722576682005,0.07228462437039743
INV 01.01.006,450-650|8-18,0.0726098245705806,0.18183269011939837
INV 01.01.006,650-850|18-30,0.05266152952792606,0.15902162003354112
INV 01.01.006,650-850|30-45,0.04175569222385893,0.08104686135868523
INV 01.01.006,650-850|45-60,0.0654767796899399,0.07958918689178723
INV 01.01.006,650-850|60+,0.08678782145127978,0.1017849294143649
INV 01.01.006,850+|18-30,0.0460624855597984,0.13987822772377745
INV 01.01.006,850+|30-45,0.03637300755265827,0.06673062002958337
INV 01.01.006,850+|45-60,0.05642092726277965,0.07094266182503936
INV 01.01.006,850+|60+,0.050093141364232895,0.05854999629814949
INV 01.01.007,100-250|18-30,0.018190036238680606,0.07136051321914332
INV 01.01.007,100-250|30-45,0.019772928621023506,0.07149839424903531
INV 01.01.007,100-250|45-60,0.021906087699448448,0.07125992228639176
INV 01.01.007,100-250|60+,0.015,0.0673664286422456
INV 01.01.007,100-250|8-18,0.026270921809518052,0.0662825619660865
INV 01.01.007,250-450|18-30,0.02872807892978937,0.0700468458097912
INV 01.01.007,250-450|30-45,0.043661234909390015,0.06917587346588178
INV 01.01.007,250-450|45-60,0.05885452495649461,0.08101765765037579
INV 01.01.007,250-450|60+,0.04119612987700413,0.06521230971553899
INV 01.01.007,250-450|8-18,0.03774949503522168,0.11925212247323011
INV 01.01.007,450-650|18-30,0.05055295429657138,0.12203725465125263
INV 01.01.007,450-650|30-45,0.047354750564696256,0.05909096200044332
INV 01.01.007,450-650|45-60,0.07466486047016796,0.085343159973493
INV 01.01.007,450-650|60+,0.06251949977282789,0.07228462437039743
INV 01.01.007,450-650|8-18,0.04459238570040287,0.18183269011939837
INV 01.01.007,650-850|18-30,0.0639261862193853,0.15902162003354112
