inverter_id,sigma_key,acute_sigma,fallback_acute_sigma
INV 01.02.008,100-250|30-45,0.01875748148418101,0.06781641380299933
INV 01.02.008,100-250|45-60,0.015,0.06532721967558715
INV 01.02.008,100-250|60+,0.015,0.0640809484748495
INV 01.02.008,100-250|8-18,0.027134227289927516,0.06215604808830127
INV 01.02.008,250-450|18-30,0.030762588029724636,0.06178241449859519
INV 01.02.008,250-450|30-45,0.03914579199994269,0.06307393098444204
INV 01.02.008,250-450|45-60,0.03668859590072063,0.059257601942802426
INV 01.02.008,250-450|60+,0.03380164014240351,0.05731078384062489
INV 01.02.008,250-450|8-18,0.05348667480147995,0.1000233083356748
INV 01.02.008,450-650|18-30,0.03343541525550929,0.08973656302677488
INV 01.02.008,450-650|30-45,0.04104842241220985,0.04883495794712288
INV 01.02.008,450-650|45-60,0.06222413076605458,0.07038963345783898
INV 01.02.008,450-650|60+,0.0627857023905357,0.07136301036596528
INV 01.02.008,450-650|8-18,0.06906761987631374,0.1372128463078021
INV 01.02.008,650-850|18-30,0.04259780317135455,0.10751440332856578
INV 01.02.008,650-850|30-45,0.03500258130598769,0.07156294158184144
INV 01.02.008,650-850|45-60,0.05328465345709883,0.06061827031721666
INV 01.02.008,650-850|60+,0.09197970438231148,0.10214543936986327
INV 01.02.008,850+|18-30,0.030380174135295226,0.0947144412693271
INV 01.02.008,850+|30-45,0.047029536085563706,0.07565919066554155
INV 01.02.008,850+|45-60,0.03637041342023579,0.04672800592078137
INV 01.02.008,850+|60+,0.0540041083134721,0.058460825850471215
INV 01.02.009,100-250|18-30,0.016575902718821575,0.06952106257363422
INV 01.02.009,100-250|30-45,0.01926764082061838,0.06781641380299933
INV 01.02.009,100-250|45-60,0.015,0.06532721967558715
INV 01.02.009,100-250|60+,0.015,0.0640809484748495
INV 01.02.009,100-250|8-18,0.02554475449453662,0.06215604808830127
INV 01.02.009,250-450|18-30,0.03043422263965856,0.06178241449859519
INV 01.02.009,250-450|30-45,0.03946850262695029,0.06307393098444204
INV 01.02.009,250-450|45-60,0.03763637609737191,0.059257601942802426
INV 01.02.009,250-450|60+,0.03432058346943499,0.05731078384062489
INV 01.02.009,250-450|8-18,0.05223253908191099,0.1000233083356748
INV 01.02.009,450-650|18-30,0.033486731671457076,0.08973656302677488
INV 01.02.009,450-650|30-45,0.04151330805588917,0.04883495794712288
INV 01.02.009,450-650|45-60,0.06317289970346941,0.07038963345783898
INV 01.02.009,450-650|60+,0.0629719592327326,0.07136301036596528
INV 01.02.009,450-650|8-18,0.06724147568474374,0.1372128463078021
INV 01.02.009,650-850|18-30,0.04413789617423662,0.10751440332856578
INV 01.02.009,650-850|30-45,0.035038771574335964,0.07156294158184144
INV 01.02.009,650-850|45-60,0.053501691371856376,0.06061827031721666
INV 01.02.009,650-850|60+,0.09294032733408339,0.10214543936986327
INV 01.02.009,850+|18-30,0.11490874552775238,0.0947144412693271
INV 01.02.009,850+|30-45,0.04513128420551425,0.07565919066554155
INV 01.02.009,850+|45-60,0.0370276062943412,0.04672800592078137
INV 01.02.009,850+|60+,0.055388002307896124,0.058460825850471215
INV 01.02.010,100-250|18-30,0.022706976887775166,0.06952106257363422
INV 01.02.010,100-250|30-45,0.019881788613922605,0.06781641380299933
INV 01.02.010,100-250|45-60,0.015,0.06532721967558715
INV 01.02.010,100-250|60+,0.015,0.0640809484748495
INV 01.02.010,100-250|8-18,0.028383257870295255,0.06215604808830127
INV 01.02.010,250-450|18-30,0.03307704466255482,0.06178241449859519
INV 01.02.010,250-450|30-45,0.03997305755644497,0.06307393098444204
INV 01.02.010,250-450|45-60,0.03847206338056961,0.059257601942802426
INV 01.02.010,250-450|60+,0.03492647426472722,0.05731078384062489
INV 01.02.010,250-450|8-18,0.07658050764156545,0.1000233083356748
INV 01.02.010,450-650|18-30,0.10351837320743455,0.08973656302677488
INV 01.02.010,450-650|30-45,0.04220774932533401,0.04883495794712288
INV 01.02.010,450-650|45-60,0.06397544322537063,0.07038963345783898
INV 01.02.010,450-650|60+,0.06301341763710323,0.07136301036596528
INV 01.02.010,450-650|8-18,0.10006838559935903,0.1372128463078021
INV 01.02.010,650-850|18-30,0.05515276703293067,0.10751440332856578
INV 01.02.010,650-850|30-45,0.03750974550954039,0.07156294158184144
INV 01.02.010,650-850|45-60,0.0537954685946721,0.06061827031721666
INV 01.02.010,650-850|60+,0.09441642857111886,0.10214543936986327
INV 01.02.010,850+|18-30,0.13828967743194762,0.0947144412693271
INV 01.02.010,850+|30-45,0.046836734943986096,0.07565919066554155
INV 01.02.010,850+|45-60,0.03786949184354745,0.04672800592078137
INV 01.02.010,850+|60+,0.057214027877604656,0.058460825850471215
INV 01.02.011,100-250|18-30,0.020719143067134033,0.06952106257363422
INV 01.02.011,100-250|30-45,0.023919071219306476,0.06781641380299933
INV 01.02.011,100-250|45-60,0.015535446422953963,0.06532721967558715
INV 01.02.011,100-250|60+,0.015,0.0640809484748495
INV 01.02.011,100-250|8-18,0.03151568069364292,0.06215604808830127
INV 01.02.011,250-450|18-30,0.04288709367997836,0.06178241449859519
INV 01.02.011,250-450|30-45,0.047350353807608304,0.06307393098444204
INV 01.02.011,250-450|45-60,0.039741952434512125,0.059257601942802426
INV 01.02.011,250-450|60+,0.03685347911528094,0.05731078384062489
INV 01.02.011,250-450|8-18,0.0602826523054948,0.1000233083356748
INV 01.02.011,450-650|18-30,0.07806103976671096,0.08973656302677488
INV 01.02.011,450-650|30-45,0.052401650524332204,0.04883495794712288
INV 01.02.011,450-650|45-60,0.06588472095508989,0.07038963345783898
INV 01.02.011,450-650|60+,0.06325157058346631,0.07136301036596528
INV 01.02.011,450-650|8-18,0.03182929821925627,0.1372128463078021
INV 01.02.011,650-850|18-30,0.08534295016784825,0.10751440332856578
INV 01.02.011,650-850|30-45,0.10470690794602709,0.07156294158184144
INV 01.02.011,650-850|45-60,0.05697249391735402,0.06061827031721666
INV 01.02.011,650-850|60+,0.09517925587676222,0.10214543936986327
INV 01.02.011,850+|18-30,0.06368571949596653,0.0947144412693271
INV 01.02.011,850+|30-45,0.09144479742084129,0.07565919066554155
INV 01.02.011,850+|45-60,0.04290543800613975,0.04672800592078137
INV 01.02.011,850+|60+,0.0615866116058548,0.058460825850471215
INV 01.02.012,100-250|18-30,0.015861684434961807,0.06952106257363422
INV 01.02.012,100-250|30-45,0.020254445520250207,0.06781641380299933
INV 01.02.012,100-250|45-60,0.015091315158757017,0.06532721967558715
INV 01.02.012,100-250|60+,0.015,0.0640809484748495
INV 01.02.012,100-250|8-18,0.023975803302926285,0.06215604808830127
INV 01.02.012,250-450|18-30,0.028366099604868925,0.06178241449859519
INV 01.02.012,250-450|30-45,0.04048208505308913,0.06307393098444204
INV 01.02.012,250-450|45-60,0.03836606712312888,0.059257601942802426
INV 01.02.012,250-450|60+,0.0362973613666953,0.05731078384062489
INV 01.02.012,250-450|8-18,0.04383301459261456,0.1000233083356748
INV 01.02.012,450-650|18-30,0.035119099968841064,0.08973656302677488
INV 01.02.012,450-650|30-45,0.041354488558336996,0.04883495794712288
INV 01.02.012,450-650|45-60,0.06359735292596959,0.07038963345783898
INV 01.02.012,450-650|60+,0.06141490106581039,0.07136301036596528
INV 01.02.012,450-650|8-18,0.06248877842221939,0.1372128463078021
INV 01.02.012,650-850|18-30,0.04243740547457187,0.10751440332856578
INV 01.02.012,650-850|30-45,0.03759368898236382,0.07156294158184144
INV 01.02.012,650-850|45-60,0.05310712277501866,0.06061827031721666
INV 01.02.012,650-850|60+,0.09209528410690668,0.10214543936986327
INV 01.02.012,850+|18-30,0.030275647617942738,0.0947144412693271
INV 01.02.012,850+|30-45,0.04937641799825993,0.07565919066554155
INV 01.02.012,850+|45-60,0.03664401964617677,0.04672800592078137
INV 01.02.012,850+|60+,0.056677112599625476,0.058460825850471215
INV 01.02.013,100-250|18-30,0.01981836475665157,0.06952106257363422
INV 01.02.013,100-250|30-45,0.019100821576485516,0.06781641380299933
INV 01.02.013,100-250|45-60,0.015611802741570585,0.06532721967558715
INV 01.02.013,100-250|60+,0.015,0.0640809484748495
INV 01.02.013,100-250|8-18,0.025259274570297613,0.06215604808830127
INV 01.02.013,250-450|18-30,0.028664181590785195,0.06178241449859519
INV 01.02.013,250-450|30-45,0.04021841021107472,0.06307393098444204
INV 01.02.013,250-450|45-60,0.0395491268889617,0.059257601942802426
INV 01.02.013,250-450|60+,0.037346905773950785,0.05731078384062489
INV 01.02.013,250-450|8-18,0.05016235296117757,0.1000233083356748
INV 01.02.013,450-650|18-30,0.06218009657101496,0.08973656302677488
INV 01.02.013,450-650|30-45,0.041652272500877316,0.04883495794712288
INV 01.02.013,450-650|45-60,0.06479367806608462,0.07038963345783898
INV 01.02.013,450-650|60+,0.06220940040736852,0.07136301036596528
INV 01.02.013,450-650|8-18,0.06904744597675423,0.1372128463078021
INV 01.02.013,650-850|18-30,0.04562436838629922,0.10751440332856578
INV 01.02.013,650-850|30-45,0.05054619019064683,0.07156294158184144
INV 01.02.013,650-850|45-60,0.054633047288128,0.06061827031721666
INV 01.02.013,650-850|60+,0.09291550534825468,0.10214543936986327
