inverter_id,total_lost_kwh,worst_residual_z,worst_acute_residual_z,latest_mean_factor,latest_mean_relative_factor,strong_samples,outage_samples,slow_degradation_samples,fast_degradation_samples,error_samples,explained_fault_samples
INV 01.02.014,18591.316895684995,-15.735322651036164,-17.375336743438606,0.8220318553658853,0.8946083347181105,5212,2215,5656,59440,3266,3152
INV 01.08.053,18324.50915891546,-17.77720196012398,-20.98901011420912,0.8346516570900097,0.8715061460815369,13682,7131,1580,54097,10305,10201
INV 01.04.026,18323.493427052716,-15.75179992923053,-14.881275076403515,0.642637721981257,0.6801785689256536,5020,3035,4912,55446,2968,2934
INV 01.02.011,18119.187659172672,-13.694557666676403,-16.02487981539518,0.6416716189139833,0.7297338873098672,2960,908,7787,69811,1315,1139
INV 01.06.043,16857.503712974154,-17.173522797514575,-18.10178662015432,0.7186616147752318,0.8131639077479373,2274,590,7579,77732,1029,926
INV 01.03.017,16801.934043741116,-46.589519779190994,-41.073847537196805,0.5518318217593964,0.5996272304960598,4186,1760,7593,93777,2356,2285
INV 01.03.020,16482.87088580818,-18.820616691573292,-17.038925757099264,0.5789154029527956,0.706630771906601,2199,620,12518,59750,1017,858
INV 01.06.042,16026.484825463827,-20.922639443260053,-20.894779225154682,0.536268726425126,0.5951909975639572,3284,766,5733,107466,1029,947
INV 01.06.038,15990.18138468862,-21.2288287791009,-20.433695656928084,0.6195953260306772,0.679591844768953,3306,790,5154,126674,1019,983
INV 01.02.013,15491.735923602248,-15.058117381832034,-17.514796879513042,0.540349768621639,0.5904746130737514,3930,783,4618,55987,1124,1023
INV 01.05.035,15307.824279585073,-17.949366851476366,-16.406842348238214,0.7790782355704754,0.8629725972772889,6120,5727,1079,53821,815,761
INV 01.06.036,15148.934530295259,-23.876066361791384,-23.116650897519616,1.0874959995362874,1.1247481370814074,11315,5766,708,147232,8544,8490
INV 01.02.010,14907.979826534141,-20.162135426482653,-18.63790864031326,0.6002416384930417,0.6612596588397069,3564,825,2407,107272,974,923
INV 01.08.056,14006.886618866174,-44.25934904751634,-41.59020431337606,0.5791560519526846,0.5436741096314003,5321,809,5936,115087,899,822
INV 01.09.060,13842.849387804663,-49.69398697435277,-54.934206919487806,1.0840021696164317,1.0484976192604194,11302,6105,105,148684,8353,8269
INV 01.04.025,13649.97646327568,-15.522384697240907,-14.742202364257633,0.6532293498840024,0.6888914301537742,2533,723,6605,58229,973,867
INV 01.01.001,13637.179506933378,-24.300733814362747,-37.07335058923125,0.9324817599551922,0.9727686117033689,3600,872,3219,130556,998,948
INV 01.01.005,13479.364198565114,-20.508647493817776,-19.357986944762278,0.7957442645213,0.8497078353669161,3146,681,3725,63437,970,919
INV 01.01.006,13398.850228797393,-20.430442762498405,-24.083114831163808,1.0362773065709439,1.0809733172685192,4462,936,3677,134280,1186,1111
INV 01.06.040,13289.692581784484,-23.036803504740625,-51.080768021195375,0.9909553147592605,1.0230848756360296,4367,1004,8449,144970,1062,1026
INV 01.09.065,12714.497055131402,-27.352291285738282,-23.30387335845325,0.5,0.5905790320461555,5454,1205,2037,86308,1666,1499
INV 01.09.063,12373.365675684698,-14.267615157610049,-16.077340043094203,0.7170717363284542,0.9346521105754086,4027,565,2850,78112,905,812
INV 01.08.052,11368.174655784043,-17.28624656702622,-18.063204220364362,0.6852602410059387,1.0,5468,1040,4222,67909,894,866
INV 01.02.008,11315.333479102406,-20.33721239776703,-24.640272419790502,1.0225760716590802,1.0663505798657946,3501,742,4484,117859,858,829
INV 01.07.050,11269.543186532992,-18.1391664681491,-20.24417227212848,0.6254342468269235,0.9558611633930079,3870,1143,873,105045,1188,1117
INV 01.03.015,11020.921007699513,-45.985950270542666,-49.895131632813104,1.0334256948307952,1.0747896744546346,3174,633,4328,123612,780,740
INV 01.02.009,10797.55921528844,-20.462373108645078,-19.827594769097406,1.007692016604916,1.0516311991315868,4252,966,805,138161,1107,1054
INV 01.03.019,10638.301039108439,-34.27903653239028,-35.709264536356805,1.0457446691214567,1.0879068226365993,3185,626,3120,124959,809,781
INV 01.08.055,10621.292823356822,-49.855415329785714,-52.900982388288064,1.0590531831195058,0.9978618550639021,6583,1652,225,147392,2222,2065
INV 01.06.041,10602.930699661287,-22.567993182725925,-24.302387622277266,1.054897082539644,1.0995067107494465,3967,806,1053,147087,1051,1029
INV 01.07.044,10429.188335872223,-21.054867603117042,-25.664379144623048,0.9347804140584447,1.057691009077323,4089,907,6422,146876,1033,1000
INV 01.03.021,10312.559378082731,-30.670642270034957,-31.475192751183688,0.8813247310620701,0.9438319658699312,3192,622,2857,87758,816,781
INV 01.05.031,9629.381964940272,-34.51384239907915,-32.188101575879315,0.8669086694024889,0.9071111845778465,3367,697,1685,65818,805,775
INV 01.05.033,9334.477254737736,-17.33641653063008,-18.29184138812097,0.9630981542302157,0.9978646160226432,5720,2215,297,107730,2870,2843
INV 01.04.024,9280.548543179713,-18.587397011053525,-18.327784014401214,0.6080629804517194,0.6699484611029709,3195,733,668,100649,801,762
INV 01.08.059,9263.657772890674,-16.35327644688851,-16.693065455852366,0.7717833577481298,0.7458105776436919,4606,1224,2264,70644,1231,1156
INV 01.04.027,9200.92496961892,-17.470308238763504,-17.593361840622585,0.8501734702406623,0.9751096640060042,3964,884,794,74282,1219,1128
INV 01.07.048,9172.036623789958,-20.87456409563769,-31.86444484078783,1.0569993007016873,1.127341965217427,5040,1320,296,141909,1436,1377
INV 01.05.029,8648.008173961689,-32.50127543827147,-33.950592513910266,0.9139654899667874,0.9565475628895636,5821,2042,125,86098,2569,2524
INV 01.04.023,8298.664634933564,-18.2067299333744,-19.104114785885354,1.0561993791196043,1.0804431335697218,4978,1412,490,121983,1788,1715
INV 01.07.049,8289.314747818908,-17.73310833475585,-20.29040077838117,0.9699466056502154,1.101036819882041,3920,1229,187,121216,1018,1007
INV 01.04.022,8245.956693501781,-24.695250124922648,-25.79806453903556,1.0841169975324427,1.1065194035952401,5630,2360,369,127701,817,788
INV 01.09.064,8127.420065677962,-39.87027524303354,-44.30054084288606,1.0431009312635642,1.0083474240178272,3921,814,153,145553,801,780
INV 01.09.061,7577.078625563674,-37.96397547842447,-42.04315915539427,1.057419656815977,1.0227606366509148,3753,873,154,138792,876,839
INV 01.04.028,7475.844157939352,-18.637398820381968,-19.1165544802875,0.8981028684254159,1.012426452843482,3647,668,383,91034,807,776
INV 01.05.032,6742.903380002211,-13.824965339840027,-17.661124203446043,0.9725092297223829,1.001265674018691,3660,791,31,111535,1012,980
INV 01.08.054,6136.236508312853,-49.45234208995196,-54.615472280214995,1.0982578556012244,1.034893214284845,3772,798,97,145605,892,858
INV 01.05.034,5236.874030083971,-18.626575686747206,-20.20494759290344,1.1,1.2158212679242464,3507,611,52,126050,803,775
INV 01.05.030,489.45311524572116,-20.826120889542178,-28.240918352016656,1.1,1.0351124657799025,772,917,0,0,842,688
