year,month,inverter_id,inverter_group,lost_kwh,mean_residual_z,min_residual_z,mean_acute_residual_z,min_acute_residual_z,mean_factor,mean_relative_factor,strong_samples,outage_samples,slow_degradation_samples,fast_degradation_samples,curtailed_samples,error_samples,explained_fault_samples
2023,2,INV 01.02.009,INV 01.02,0.023445291553546722,-0.2780227728561367,-10.715582646391931,-0.4149908022326496,-16.658568180149164,1.0,1.0,0,0,0,0,1423,0,0
2023,2,INV 01.02.010,INV 01.02,0.0,-0.822865344551085,-13.52895179329,-0.8480230223545641,-12.389804413190054,1.0,1.0,0,0,0,0,1423,0,0
2023,2,INV 01.02.011,INV 01.02,0.10214142504017161,-0.8709369938544959,-8.2789048529968,-0.8319485057331654,-7.857225505349138,1.0,1.0,0,0,1,0,1423,0,0
2023,2,INV 01.02.012,INV 01.02,0.026031266055379528,-0.3487877470345075,-14.992159776012327,-0.5176959573115423,-22.618135701761002,1.0,1.0,0,0,0,0,1423,0,0
2023,2,INV 01.02.013,INV 01.02,0.018654009547064938,-1.1392795383254986,-11.103616637868326,-1.1947481975815992,-10.796653902878205,1.0,1.0,0,0,0,0,1423,0,0
2023,2,INV 01.02.014,INV 01.02,0.048604032244513665,-1.0055518245947532,-11.862859065611813,-1.0555899492853276,-9.822951514523178,1.0,1.0,0,0,0,0,1423,0,0
2023,2,INV 01.03.015,INV 01.03,0.06567738177735682,-0.06988169794292397,-45.985950270542666,-0.03660818571692506,-45.985950270542666,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.03.016,INV 01.03,0.026905663608390563,-0.395236677069171,-46.53880522610622,-0.46266339027342246,-46.53880522610622,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.03.017,INV 01.03,0.005497941730523129,-1.1249981614535136,-46.589519779190994,-1.1356633221791215,-42.49207883007938,1.0,1.0,0,0,0,0,1411,1,0
2023,2,INV 01.03.018,INV 01.03,0.10880589134767223,-0.9402136506531703,-12.161461420292976,-0.5497770605973585,-7.820068474712692,0.894298153201445,0.9413870920756362,0,0,1,0,1411,0,0
2023,2,INV 01.03.019,INV 01.03,0.007885500455766598,0.042605566279952586,-34.27903653239028,0.11813737563784656,-32.36224438158683,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.03.020,INV 01.03,0.07508368651635156,-1.1480841532514392,-11.879871022399541,-0.8248844625118825,-10.47228232437885,0.9304078583377735,0.9793981403958261,0,0,0,0,1411,3,0
2023,2,INV 01.03.021,INV 01.03,0.0,-0.6625667663811046,-30.670642270034957,-0.7299981054703761,-29.827523236379914,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.04.022,INV 01.04,0.25738507849592585,0.3497777093541645,-24.695250124922648,0.581812917662578,-23.354552598008215,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.04.023,INV 01.04,0.0,0.19631936987449128,-10.490972121759258,0.3599746216161353,-14.66397628912943,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.04.024,INV 01.04,0.0,-0.2065930981373818,-9.941955174951753,-0.2091269807756345,-10.348314410675693,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.04.025,INV 01.04,0.10000441475423516,-0.5578916347873033,-13.047256233247298,-0.3471701465931237,-11.269498996352905,0.937654356871298,0.9572842623635608,0,0,0,0,1411,0,0
2023,2,INV 01.04.026,INV 01.04,0.0,-1.102992347529824,-11.609903508723809,-1.3012249255190864,-11.92011378641872,1.0,1.0,0,0,0,0,1411,2,0
